product_url,product_image_urls,product_name,sales_price,retail_price,brand
https://www.nordstromrack.com/s/natori-impulse-racerback-sport-bralette/6419539?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/d43b5967-98be-4ef7-ab3d-ffd6826d29d9.jpeg?h=365&w=240&dpr=2,Impulse Racerback Sport Bralette,11.22,14.97,Nordstrom Rack
https://www.nordstromrack.com/s/madewell-v-neck-short-sleeve-t-shirt-regular-plus-size/6032405?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=822,https://n.nordstrommedia.com/id/sr3/b9f88114-5b4e-48ab-b677-97b8958f7380.jpeg?h=365&w=240&dpr=2,V-Neck Short Sleeve T-Shirt (Regular & Plus Size),6.79 – 16.97,19.50,Nordstrom Rack
https://www.nordstromrack.com/s/lipglass-lip-gloss/4619754?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=250,https://n.nordstrommedia.com/id/sr3/eed12429-1995-4bc4-8495-fd4c964b25a5.jpeg?h=365&w=240&dpr=2,Lipglass Lip Gloss,11.97 – 21.00,11.97 – 21.00,Nordstrom Rack
https://www.nordstromrack.com/s/7000176?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=800,https://n.nordstrommedia.com/id/sr3/492e7c0a-e02f-4f90-b279-485eee4e9fe6.jpeg?h=365&w=240&dpr=2,14K Yellow Gold Lemon Quartz & Pavé Diamond Ring - Size 7,79.97,20.00,Nordstrom Rack
https://www.nordstromrack.com/s/open-edit-side-ruched-skirt/5829292?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=210,https://n.nordstrommedia.com/id/sr3/2da8d1a3-58b3-4551-8ffd-cad023b4c8eb.jpeg?h=365&w=240&dpr=2,Side Ruched Skirt,11.25,45.00,Nordstrom Rack
https://www.nordstromrack.com/s/asics-gel-excite-9-trainer-sneaker-women/6291500?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=100,https://n.nordstrommedia.com/id/sr3/b8fa1898-0e39-462b-a9b5-1d5d47c988be.jpeg?h=365&w=240&dpr=2,ASICS GEL-Excite 9 Trainer Sneaker (Women),34.99 – 54.97,75.00,Nordstrom Rack
https://www.nordstromrack.com/s/natori-recharge-underwire-sports-bra-regular-plus-size-a-ddd-cups/6033388?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=277,https://n.nordstrommedia.com/id/sr3/ac85de92-93cc-493b-a101-87b1a9ca75ba.jpeg?h=365&w=240&dpr=2,"Recharge Underwire Sports Bra (Regular & Plus Size, A-DDD Cups)",18.87 – 26.97,66.00,Nordstrom Rack
https://www.nordstromrack.com/s/5991355?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=001,https://n.nordstrommedia.com/id/sr3/9a2fd6cd-0f44-4ecb-b71e-7f438bb1fcb3.jpeg?h=365&w=240&dpr=2,JOURNEE Late Buckle Tall Boot,69.97,110.00,Nordstrom Rack
https://www.nordstromrack.com/s/anastasia-beverly-hills-dipbrow-gel-eyebrow-gel/5231359?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=250,https://n.nordstrommedia.com/id/sr3/41f781d0-4c8a-4148-b2ac-0008a8a2e2d8.jpeg?h=365&w=240&dpr=2,Dipbrow® Gel Eyebrow Gel,7.65,9.00,Nordstrom Rack
https://www.nordstromrack.com/s/jeffree-star-cosmetics-velvet-trap-lipstick/6547233?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=255,https://n.nordstrommedia.com/id/sr3/8cbf5f97-8b0a-4447-b47c-7fca6cb32b8b.jpeg?h=365&w=240&dpr=2,Velvet Trap Lipstick,7.48 – 9.97,18.00,Nordstrom Rack
https://www.nordstromrack.com/s/mac-mini-lipstick/4652573?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=600,https://n.nordstrommedia.com/id/sr3/d436b533-ff4c-401f-8ea8-0c2ae57dbdae.jpeg?h=365&w=240&dpr=2,Mini Lipstick,12.75 – 15.00,15.00,Nordstrom Rack
https://www.nordstromrack.com/s/melrose-and-market-lace-cami/6099563?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=230,https://n.nordstrommedia.com/id/sr3/1e13848a-1b46-41a8-b04e-549edc837aac.jpeg?h=365&w=240&dpr=2,Lace Cami,3.99 – 19.97,19.97,Nordstrom Rack
https://www.nordstromrack.com/s/natori-sheer-jacquard-full-fit-contour-underwire-bra/4663741?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=541,https://n.nordstrommedia.com/id/sr3/5fad34b9-5d2d-4ab9-b968-7c08fb1b6bd4.jpeg?h=365&w=240&dpr=2,Sheer Jacquard Full Fit Contour Underwire Bra,11.19 – $27.97,64.00,Nordstrom Rack
https://www.nordstromrack.com/s/vince-camuto-evolet-flip-flop-women/5885669?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=720,https://n.nordstrommedia.com/id/sr3/f1002e3d-1bf8-4746-9219-5218268e4fbf.jpeg?h=365&w=240&dpr=2,Evolet Flip Flop (Women),19.97 – 29.97,59.00 – 59.95,Nordstrom Rack
https://www.nordstromrack.com/s/mac-lip-pencil/2791386?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=602,https://n.nordstrommedia.com/id/sr3/382ab5aa-b4c7-40bb-8a7c-9cd7aba0e001.jpeg?h=365&w=240&dpr=2,Lip Pencil,18.70,22.00,Nordstrom Rack
https://www.nordstromrack.com/s/mac-matte-lipstick/3022868?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=204,https://n.nordstrommedia.com/id/sr3/146487a4-0cf1-4ac7-b5b6-f04f5d5a65a9.jpeg?h=365&w=240&dpr=2,Matte Lipstick,11.97 – 22.00,11.97 – 22.00,Nordstrom Rack
https://www.nordstromrack.com/s/natori-lace-undwerwire-bra/6038895?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=615,https://n.nordstrommedia.com/id/sr3/aea61837-de90-4461-aa71-f48a2a6c008b.jpeg?h=365&w=240&dpr=2,Lace Undwerwire Bra,19.48 – 28.97,70.00,Nordstrom Rack
https://www.nordstromrack.com/s/abound-wynter-faux-fur-slipper-women/6040601?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=100,https://n.nordstrommedia.com/id/sr3/21e184ee-104c-407e-a220-e9f0eac46a7b.jpeg?h=365&w=240&dpr=2,Wynter Faux Fur Slipper (Women),6.74 – 7.49,14.97,Nordstrom Rack
https://www.nordstromrack.com/s/bp-bp-split-neck-thermal-crop-top/5869811?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=270,https://n.nordstrommedia.com/id/sr3/acde943f-a859-4ba2-8c21-3735f5ca33e4.jpeg?h=365&w=240&dpr=2,Split Neck Thermal Crop Top,8.75 – 20.00,25.00,Nordstrom Rack
https://www.nordstromrack.com/s/treasure-and-bond-woven-favorite-dress/6267014?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=720,https://n.nordstrommedia.com/id/sr3/c7ae8924-23cd-48be-ad71-f93c213aae46.jpeg?h=365&w=240&dpr=2,Woven Favorite Dress,15.97,39.00,Nordstrom Rack
https://www.nordstromrack.com/s/caslon-stripe-print-sleeveless-dress/6504177?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=420,https://n.nordstrommedia.com/id/sr3/38db2902-3400-4a5a-9a3a-5aeddd1c090f.jpeg?h=365&w=240&dpr=2,Stripe Print Sleeveless Dress,22.97,59.00,Nordstrom Rack
https://www.nordstromrack.com/s/stay-naked-powder-all-nighter-setting-spray-travel-duo/7096554?origin=category-personalizedsort&breadcrumb=Home%2FClearance%2FWomen&color=202,https://n.nordstrommedia.com/id/sr3/f113163e-dc30-48f0-b1db-55b723080dc6.jpeg?h=365&w=240&dpr=2,Stay Naked Powder & All Nighter Setting Spray Travel Duo,17.22 – 22.97,39.00,Nordstrom Rack
