product_name,product_image_urls,sales_price,retail_price,product_url,brand
UO Rebecca Long Sleeve Mini Dress,https://images.urbndata.com/is/image/UrbanOutfitters/79347209_013_b?$medium$&qlt=80&fit=constrain,49.99,89.00,https://www.urbanoutfitters.com/shop/uo-rebecca-long-sleeve-mini-dress?category=womens-clothing-sale&color=013,Urban Outfitters
UO Calypso Cinched Asymmetrical Cami,https://images.urbndata.com/is/image/UrbanOutfitters/81126336_001_b?$medium$&qlt=80&fit=constrain,19.99,35.00,https://www.urbanoutfitters.com/shop/uo-calypso-cinched-asymmetrical-cami?category=womens-clothing-sale&color=001,Urban Outfitters
UO Becca Printed Puff Sleeve Mini Dress,https://images.urbndata.com/is/image/UrbanOutfitters/80408453_038_b?$medium$&qlt=80&fit=constrain,39.99,69.00,https://www.urbanoutfitters.com/shop/uo-becca-printed-puff-sleeve-mini-dress?category=womens-clothing-sale&color=038,Urban Outfitters
UO Sienna Floral Embroidered Mini Dress,https://images.urbndata.com/is/image/UrbanOutfitters/80373236_009_b?$medium$&qlt=80&fit=constrain,49.99,84.00,https://www.urbanoutfitters.com/shop/uo-sienna-floral-embroidered-mini-dress?category=womens-clothing-sale&color=009,Urban Outfitters
UO Picnic Time Midi Dress,https://images.urbndata.com/is/image/UrbanOutfitters/80267487_012_b?$medium$&qlt=80&fit=constrain,49.99,89.00,https://www.urbanoutfitters.com/shop/uo-picnic-time-midi-dress?category=womens-clothing-sale&color=012,Urban Outfitters
Round Two X Nickelodeon UO Exclusive Rakeem Miles SpongeBob Tee,https://images.urbndata.com/is/image/UrbanOutfitters/80361702_079_b?$medium$&qlt=80&fit=constrain,19.99,39.00,https://www.urbanoutfitters.com/shop/round-two-x-nickelodeon-uo-exclusive-rakeem-miles-spongebob-tee?category=womens-clothing-sale&color=079,Urban Outfitters
UO Fifi Ruched Cropped Top,https://images.urbndata.com/is/image/UrbanOutfitters/80072309_066_b?$medium$&qlt=80&fit=constrain,19.99,39.00,https://www.urbanoutfitters.com/shop/uo-fifi-ruched-cropped-top?category=womens-clothing-sale&color=066,Urban Outfitters
UO Mia Ribbed Cinched Sweater,https://images.urbndata.com/is/image/UrbanOutfitters/80323751_001_b?$medium$&qlt=80&fit=constrain,29.99,55.00,https://www.urbanoutfitters.com/shop/uo-mia-ribbed-cinched-sweater?category=womens-clothing-sale&color=001,Urban Outfitters
UO Casey Linen Utility Jumpsuit,https://images.urbndata.com/is/image/UrbanOutfitters/80496904_030_b?$medium$&qlt=80&fit=constrain,49.99,109.00,https://www.urbanoutfitters.com/shop/uo-casey-linen-utility-jumpsuit?category=womens-clothing-sale&color=030,Urban Outfitters
Round Two X Nickelodeon UO Exclusive Rakeem Miles Sandy Cheeks Tee,https://images.urbndata.com/is/image/UrbanOutfitters/80361579_011_b?$medium$&qlt=80&fit=constrain,19.99,39.00,https://www.urbanoutfitters.com/shop/round-two-x-nickelodeon-uo-exclusive-rakeem-miles-sandy-cheeks-tee?category=womens-clothing-sale&color=011,Urban Outfitters
