web-scraper-order,https://www.urbanoutfitters.com/womens-clothing-sale,product_name,current_price,deleted_price,images-src
1675028481-726,https://www.urbanoutfitters.com/womens-clothing-sale,Levi’s® 501 Mid-Thigh Classic Denim Short,39.99,69,https://images.urbndata.com/is/image/UrbanOutfitters/79334090_092_b?$medium$&qlt=80&fit=constrain
1675028481-727,https://www.urbanoutfitters.com/womens-clothing-sale,Urban Renewal Vintage Solid Oversized Sweater,14.99 – 39.00,39,https://images.urbndata.com/is/image/UrbanOutfitters/78615994_004_b?$medium$&qlt=80&fit=constrain
1675028481-728,https://www.urbanoutfitters.com/womens-clothing-sale,UO Tabatha Allover Lace Babydoll Cami,19.99,39,https://images.urbndata.com/is/image/UrbanOutfitters/79249827_001_b?$medium$&qlt=80&fit=constrain
1675028481-729,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Hailey Seamless Bra Top,9.99 – 14.99,25,https://images.urbndata.com/is/image/UrbanOutfitters/49512668_044_b?$medium$&qlt=80&fit=constrain
1675028481-730,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Modern Love Lace Corset,29.99,59,https://images.urbndata.com/is/image/UrbanOutfitters/57537995_041_b?$medium$&qlt=80&fit=constrain
1675028481-731,https://www.urbanoutfitters.com/womens-clothing-sale,GEORGE GINA & LUCY Anniehow Good Tote Bag,119.99,170,https://images.urbndata.com/is/image/UrbanOutfitters/78183118_038_b?$medium$&qlt=80&fit=constrain
1675028481-732,https://www.urbanoutfitters.com/womens-clothing-sale,GEORGE GINA & LUCY Boxery Crossbody Bag,84.99,121,https://images.urbndata.com/is/image/UrbanOutfitters/78182946_004_b?$medium$&qlt=80&fit=constrain
1675028481-733,https://www.urbanoutfitters.com/womens-clothing-sale,UO Best Friend Cotton Tee,9.99,20,https://images.urbndata.com/is/image/UrbanOutfitters/51159663_065_b?$medium$&qlt=80&fit=constrain
1675028481-734,https://www.urbanoutfitters.com/womens-clothing-sale,GEORGE GINA & LUCY Bigster Tote Bag,129.99,182,https://images.urbndata.com/is/image/UrbanOutfitters/78182995_001_b?$medium$&qlt=80&fit=constrain
1675028481-735,https://www.urbanoutfitters.com/womens-clothing-sale,adidas Velour Monogram Track Pant,44.99,90,https://images.urbndata.com/is/image/UrbanOutfitters/69354223_040_b?$medium$&qlt=80&fit=constrain
1675028481-736,https://www.urbanoutfitters.com/womens-clothing-sale,adidas Big Baffle Puffer Jacket,119.99,230,https://images.urbndata.com/is/image/UrbanOutfitters/68686740_001_b?$medium$&qlt=80&fit=constrain
1675028481-737,https://www.urbanoutfitters.com/womens-clothing-sale,adidas Velvet Flare Pant,29.99,55,https://images.urbndata.com/is/image/UrbanOutfitters/69354272_030_b?$medium$&qlt=80&fit=constrain
1675028481-738,https://www.urbanoutfitters.com/womens-clothing-sale,Pendleton Alpine Wool Zip-Up Cardigan,139.99,269,https://images.urbndata.com/is/image/UrbanOutfitters/68533298_060_b?$medium$&qlt=80&fit=constrain
1675028481-739,https://www.urbanoutfitters.com/womens-clothing-sale,UO Y2K Convertible Puffer Jacket,69.99,139,https://images.urbndata.com/is/image/UrbanOutfitters/79598629_036_b?$medium$&qlt=80&fit=constrain
1675028481-740,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Hero Cutout Singlet Romper,29.99,55,https://images.urbndata.com/is/image/UrbanOutfitters/80466113_230_b?$medium$&qlt=80&fit=constrain
1675028481-741,https://www.urbanoutfitters.com/womens-clothing-sale,UO Cassie Satin & Lace Ruffle Midi Skirt,39.99,89,https://images.urbndata.com/is/image/UrbanOutfitters/80269319_041_b?$medium$&qlt=80&fit=constrain
1675028481-742,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Koa Open-Front Hoodie Sweatshirt,34.99,65,https://images.urbndata.com/is/image/UrbanOutfitters/80102486_024_b?$medium$&qlt=80&fit=constrain
1675028481-743,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Rochelle Singlet Jumpsuit,39.99,79,https://images.urbndata.com/is/image/UrbanOutfitters/80154727_001_b?$medium$&qlt=80&fit=constrain
1675028481-744,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Koa Strappy Sweatpant,34.99,69,https://images.urbndata.com/is/image/UrbanOutfitters/79974325_024_b?$medium$&qlt=80&fit=constrain
1675028481-745,https://www.urbanoutfitters.com/womens-clothing-sale,UO Mae Nylon Wide-Leg Pant,29.99,69,https://images.urbndata.com/is/image/UrbanOutfitters/80343551_030_b?$medium$&qlt=80&fit=constrain
1675028481-746,https://www.urbanoutfitters.com/womens-clothing-sale,KOTO 04.033 Circle Hoodie Sweatshirt,19.95,69,https://images.urbndata.com/is/image/UrbanOutfitters/78361508_001_b?$medium$&qlt=80&fit=constrain
1675028481-747,https://www.urbanoutfitters.com/womens-clothing-sale,Mikoh Kaloko 2 Triangle Bikini Top,59.99,146,https://images.urbndata.com/is/image/UrbanOutfitters/79486437_040_b?$medium$&qlt=80&fit=constrain
1675028481-748,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Cassidy Seamless Cutout Mini Dress,29.99,59,https://images.urbndata.com/is/image/UrbanOutfitters/80407612_065_b?$medium$&qlt=80&fit=constrain
1675028481-749,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Miranda Tease Satin Triangle Bralette,14.99,29,https://images.urbndata.com/is/image/UrbanOutfitters/79472999_055_b?$medium$&qlt=80&fit=constrain
1675028481-750,https://www.urbanoutfitters.com/womens-clothing-sale,Out From Under Amber Tease Underwire Bra,19.99,39,https://images.urbndata.com/is/image/UrbanOutfitters/79473286_055_b?$medium$&qlt=80&fit=constrain
